Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Routes,Costs
haircare,SKU0,69.80800554,55,802,8661.996792,Non-binary,58,7,96,4,Carrier B,2.956572139,Supplier 3,Mumbai,215,29,46.27987924,Pending,0.226410361,Road,Route B,187.7520755
skincare,SKU1,14.84352328,95,736,7460.900065,Female,53,30,37,2,Carrier A,9.716574771,Supplier 3,Mumbai,517,30,33.61676895,Pending,4.854068026,Road,Route B,503.0655791
haircare,SKU2,11.31968329,34,8,9577.749626,Unknown,1,10,88,2,Carrier B,8.054479262,Supplier 1,Mumbai,971,27,30.68801935,Pending,4.580592619,Air,Route C,141.9202818
skincare,SKU3,61.16334302,68,83,7766.836426,Non-binary,23,13,59,6,Carrier C,1.729568564,Supplier 5,Kolkata,937,18,35.6247414,Fail,4.746648621,Rail,Route A,254.7761592
skincare,SKU4,4.805496036,26,871,2686.505152,Non-binary,5,3,56,8,Carrier A,3.890547916,Supplier 1,Delhi,414,3,92.0651606,Fail,3.145579523,Air,Route A,923.4406317
haircare,SKU5,1.699976014,87,147,2828.348746,Non-binary,90,27,66,3,Carrier B,4.444098864,Supplier 4,Bangalore,104,17,56.76647556,Fail,2.779193512,Road,Route A,235.4612367
skincare,SKU6,4.078332863,48,65,7823.47656,Male,11,15,58,8,Carrier C,3.880763303,Supplier 3,Kolkata,314,24,1.08506857,Pending,1.000910619,Sea,Route A,134.3690969
cosmetics,SKU7,42.95838438,59,426,8496.103813,Female,93,17,11,1,Carrier B,2.348338784,Supplier 4,Bangalore,564,1,99.4661086,Fail,0.398177187,Road,Route C,802.0563118
cosmetics,SKU8,68.71759675,78,150,7517.363211,Female,5,10,15,7,Carrier C,3.404733857,Supplier 4,Mumbai,769,8,11.42302714,Pending,2.709862691,Sea,Route B,505.5571342
skincare,SKU9,64.01573294,35,980,4971.145988,Unknown,14,27,83,1,Carrier A,7.166645291,Supplier 2,Chennai,963,23,47.95760163,Pending,3.844614479,Rail,Route B,995.9294615
skincare,SKU10,15.70779568,11,996,2330.965802,Non-binary,51,13,80,2,Carrier C,8.673211211,Supplier 5,Kolkata,830,5,96.52735279,Pass,1.727313928,Road,Route B,806.1031777
skincare,SKU11,90.63545998,95,960,6099.944116,Female,46,23,60,1,Carrier A,4.523943124,Supplier 2,Kolkata,362,11,27.59236309,Pending,0.021169821,Air,Route A,126.7230334
haircare,SKU12,71.21338908,41,336,2873.741446,Unknown,100,30,85,4,Carrier A,1.32527401,Supplier 4,Kolkata,563,3,32.32128621,Fail,2.161253748,Road,Route B,402.9687891
skincare,SKU13,16.16039332,5,249,4052.738416,Male,80,8,48,9,Carrier A,9.537283061,Supplier 5,Bangalore,173,10,97.82905011,Pending,1.63107423,Road,Route B,547.2410052
skincare,SKU14,99.17132864,26,562,8653.570926,Non-binary,54,29,78,5,Carrier B,2.039770189,Supplier 1,Kolkata,558,14,5.79143663,Pending,0.100682852,Air,Route B,929.23529
skincare,SKU15,36.98924493,94,469,5442.086785,Non-binary,9,8,69,7,Carrier B,2.422039723,Supplier 1,Bangalore,580,7,97.12128175,Pass,2.264405761,Sea,Route B,127.8618
skincare,SKU16,7.54717211,74,280,6453.797968,Female,2,5,78,1,Carrier B,4.191324586,Supplier 1,Bangalore,399,21,77.1063425,Pass,1.012563089,Air,Route A,865.5257798
cosmetics,SKU17,81.46253437,82,126,2629.396435,Female,45,17,85,9,Carrier C,3.585418958,Supplier 1,Chennai,453,16,47.67968037,Fail,0.102020755,Air,Route C,670.9343908
haircare,SKU18,36.44362777,23,620,9364.673505,Unknown,10,10,46,8,Carrier C,4.339224714,Supplier 2,Kolkata,374,17,27.10798085,Pending,2.231939111,Sea,Route A,593.4802587
skincare,SKU19,51.12387009,100,187,2553.495585,Unknown,48,11,94,3,Carrier A,4.742635883,Supplier 4,Chennai,694,16,82.37332059,Fail,3.646450865,Road,Route C,477.3076311
skincare,SKU20,96.34107244,22,320,8128.027697,Unknown,27,12,68,6,Carrier A,8.878334651,Supplier 1,Chennai,309,6,65.68625961,Pass,4.231416574,Air,Route B,493.8712153
cosmetics,SKU21,84.89386898,60,601,7087.052696,Unknown,69,25,7,6,Carrier B,6.037883769,Supplier 5,Chennai,791,4,61.73572895,Pending,0.018607568,Air,Route C,523.3609147
haircare,SKU22,27.67978089,55,884,2390.807867,Unknown,71,1,63,10,Carrier A,9.567648921,Supplier 4,Kolkata,780,28,50.12083961,Fail,2.591275473,Rail,Route C,205.5719958
cosmetics,SKU23,4.324341186,30,391,8858.367571,Unknown,84,5,29,7,Carrier A,2.924857601,Supplier 5,Kolkata,568,29,98.60995724,Pending,1.342291563,Rail,Route A,196.3294461
haircare,SKU24,4.156308359,32,209,9049.077861,Male,4,26,2,8,Carrier C,9.741291689,Supplier 2,Bangalore,447,3,40.3823597,Pending,3.691310293,Air,Route A,758.7247726
haircare,SKU25,39.62934399,73,142,2174.777054,Male,82,11,52,3,Carrier C,2.231073681,Supplier 4,Kolkata,934,23,78.28038312,Pending,3.797231217,Road,Route B,458.5359457
haircare,SKU26,97.44694662,9,353,3716.493326,Male,59,16,48,4,Carrier B,6.507548621,Supplier 2,Bangalore,171,4,15.97222976,Pass,2.119319737,Rail,Route A,617.8669165
cosmetics,SKU27,92.55736081,42,352,2686.457224,Unknown,47,9,62,8,Carrier C,7.406750953,Supplier 5,Mumbai,291,4,10.52824507,Fail,2.864667838,Sea,Route B,762.4591822
cosmetics,SKU28,2.397274706,12,394,6117.324615,Female,48,15,24,4,Carrier B,9.898140508,Supplier 1,Mumbai,171,7,59.42938181,Fail,0.815757079,Air,Route A,123.4370275
cosmetics,SKU29,63.44755919,3,253,8318.903195,Female,45,5,67,7,Carrier B,8.100973145,Supplier 1,Kolkata,329,7,39.29287559,Pass,3.878098937,Road,Route B,764.9353759
haircare,SKU30,8.022859211,10,327,2766.342367,Male,60,26,35,7,Carrier B,8.954528315,Supplier 4,Kolkata,806,30,51.6348934,Pending,0.965394705,Road,Route C,880.0809882
skincare,SKU31,50.84739305,28,168,9655.135103,Male,6,17,44,4,Carrier B,2.679660965,Supplier 3,Chennai,461,8,60.25114566,Pending,2.989000007,Rail,Route C,609.3792066
